id,title,ios_url,ios_app_store_id,ios_app_name,android_url,android_package,android_app_name,product_type,description,price,brand,item_group_id,link,image_link,additional_image_link,availability,condition,google_product_category
0,Vintage Prints,polagram://products/vintage,586420569,LALALAB,polagram://products/vintage,com.invaderscorp.polagram,LALALAB,Prints,Bestseller! Square prints with a customisable retro border. For your inner 70s flowerchild. __,0.25,LALALAB,GROUP0,https://www.lalalab.com/en/products/print/vintage-print/details/,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_vintage_01.jpg,https://lalalab-cdn.s3-eu-west-1.amazonaws.com/ACQUISITION/slide_vintage_02.jpg,in stock,new,Prints
1,Mini Vintage Prints,polagram://products/miniprint ,586420569,LALALAB,polagram://products/miniprint ,com.invaderscorp.polagram,LALALAB,Prints,"A fun-sized version of our Vintage Prints, with all the same border customisation options for maximum kawaii. __",0.25,LALALAB,GROUP1,https://www.lalalab.com/en/products/print/mini-vintage-print/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINTS/MINI%20VINTAGE/slide_minivintage_04%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINTS/MINI%20VINTAGE/slide_minivintage_02%403x.jpg,in stock,new,Prints
2,Classic Prints,polagram://products/classic,586420569,LALALAB,polagram://products/classic,com.invaderscorp.polagram,LALALAB,Prints,Full-frame square prints. An obvious choice for you Instagrammers out there. __,0.25,LALALAB,GROUP2,https://www.lalalab.com/en/products/print/classic-print/details/,https://i.goopics.net/gjixyq.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINTS/CLASSIQUE/slide_classic_02%403x.jpg,in stock,new,Prints
3,Regular 10x13 Prints,polagram://products/regular10x13,586420569,LALALAB,polagram://products/regular10x13,com.invaderscorp.polagram,LALALAB,Prints,"Bye, borders. __ Full-frame, rectangular prints optimised for smartphone cameras.",0.25,LALALAB,GROUP3,https://www.lalalab.com/en/products/print/regular-print/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINTS/10x13/slide_regular_01%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINTS/10x13/slide_regular_02%403x.jpg,in stock,new,Prints
4,XL Classic Prints,polagram://products/xlclassic,586420569,LALALAB,polagram://products/xlclassic,com.invaderscorp.polagram,LALALAB,Prints,"Two times bigger than our standard, full-frame square print. Not that size matters.",1.99,LALALAB,GROUP4,https://www.lalalab.com/en/products/print/classic-xl-print/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINT/slide_xlclassic_02%403x.jpg,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/PRINT/cat_regular_10x13%403x.jpg,in stock,new,Prints
5,XL Regular Prints,polagram://products/xlregular ,586420569,LALALAB,polagram://products/xlregular ,com.invaderscorp.polagram,LALALAB,Prints,"The big-kid version of our regular, borderless formats. Ideal for printing high-res photos and not-yet-famous works of art.",2.29,LALALAB,GROUP5,https://www.lalalab.com/en/products/print/regular-xl-print/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/DECO%20M/slide_xlregular_01%403xw.jpg,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/PRINTS/slide_xlregular_03%403x.jpg,in stock,new,Prints
6,Lala Box,polagram://products/box36,586420569,LALALAB,polagram://products/box36,com.invaderscorp.polagram,LALALAB,Box,"See your memories by the light of the winter moon with Lala Box. __Up to 45 Vintage or Square Prints you can shuffle and reshuffle at will, all packaged in a dreamy, lunar-themed box.",15.9,LALALAB,GROUP6,https://www.lalalab.com/en/products/photobox/lala-box/details,https://i.goopics.net/txi3vu.jpg,https://i.goopics.net/3oxdlh.jpg,in stock,new,Box
7,Biggie Box,polagram://products/bigbox80,586420569,LALALAB,polagram://products/bigbox80,com.invaderscorp.polagram,LALALAB,Box,"Look, a shooting star! __Up to 120 Vintage or Square Prints, packaged to perfection in a shimmering ode to the solar system.",27.9,LALALAB,GROUP7,https://www.lalalab.com/en/products/photobox/biggie-box/details,https://i.goopics.net/84y5r8.jpg,https://i.goopics.net/vclook.jpg,in stock,new,Box
8,Poster,polagram://products/posternoframe,586420569,LALALAB,polagram://products/posternoframe,com.invaderscorp.polagram,LALALAB,Poster,"Super-premium posters that won't rip or pucker at the edges. Print a single, large-scale image or create a mosaic from many.",18.9,LALALAB,GROUP8,https://www.lalalab.com/en/products/poster/details/,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/POSTER/slide_poster_01%403x.jpg,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/POSTER/slide_poster_03%403x.jpg,in stock,new,Poster
9,Poster framed,polagram://products/posterwithframe,586420569,LALALAB,polagram://products/posterwithframe,com.invaderscorp.polagram,LALALAB,Poster,"Poster-size images framed like fine art. Print a single, large-scale image or create a mosaic from many.",48.8,LALALAB,GROUP9,https://www.lalalab.com/en/products/poster/details/,https://lalalab-cdn.s3.eu-west-1.amazonaws.com/7.%20CRITEO/19_11/DECO%20M/cat_poster_with_frame%403x.jpg,https://lalalab-cdn.s3.amazonaws.com/7.%20CRITEO/19_05/POSTER/slide_poster_f_01%403x.jpg,in stock,new,Poster
